recordId,dirname,question,rewritten_tool_query,tool_name,rank,score,note
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,Microserv.io NLP Service&&ColemanLiauReadability,1,-3,
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,SONOTELLER.AI&&Lyrics Analysis,2,-3,
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,TextGears&&Delete exception,3,-3,
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,Microserv.io NLP Service&&SmogReadability,4,-3,
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,TextGears&&Language detection,5,-3,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,Microserv.io NLP Service&&ColemanLiauReadability,1,-3,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,SONOTELLER.AI&&Lyrics Analysis,2,-3,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,TextGears&&Delete exception,3,-3,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,SONOTELLER.AI&&Music Analysis,4,-3,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,TextGears&&Create exception,5,-3,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,Paraphraser&&Summarize,6,-3,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,English text simplifier&&/v1/simplify,7,1,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,Language Tools&&/rephrase-simple,8,1,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,Integrate AI&&paraphrasing_paraphrasing__post,9,1,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,Web Scrapper&&go,10,-3,
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,False or not not not False and True is,boolean logic evaluation,Microserv.io NLP Service&&ColemanLiauReadability,1,-3,
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,False or not not not False and True is,boolean logic evaluation,SONOTELLER.AI&&Lyrics Analysis,2,-3,
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,False or not not not False and True is,boolean logic evaluation,TextGears&&Delete exception,3,-3,
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,False or not not not False and True is,boolean logic evaluation,Microserv.io NLP Service&&SmogReadability,4,-3,
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,False or not not not False and True is,boolean logic evaluation,TextGears&&Language detection,5,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,Microserv.io NLP Service&&ColemanLiauReadability,1,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,SONOTELLER.AI&&Lyrics Analysis,2,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,TextGears&&Delete exception,3,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,Microserv.io NLP Service&&SmogReadability,4,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,TextGears&&Language detection,5,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,weatherstack&&get,6,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,AI Textraction&&Textraction,7,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,TextAPI&&Display Entities,8,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,NLP&&Detect Main Phrases In Text,9,-3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,Microserv.io NLP Service&&ColemanLiauReadability,1,-3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,SONOTELLER.AI&&Lyrics Analysis,2,-3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,TextGears&&Delete exception,3,-3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,Microserv.io NLP Service&&SmogReadability,4,-3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,TextGears&&Language detection,5,-3,
